"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"3.13","0.31","3.84","0.54","2.86","0.36","1400000US06037120105","Census Tract 1201.05, Los Angeles County, California"
"3.42","0.57","2.58","1.80","3.68","0.33","1400000US06037120106","Census Tract 1201.06, Los Angeles County, California"
"3.61","0.26","3.38","1.35","3.62","0.27","1400000US06037120107","Census Tract 1201.07, Los Angeles County, California"
"3.26","0.27","3.09","0.51","3.34","0.34","1400000US06037120108","Census Tract 1201.08, Los Angeles County, California"
"3.57","0.33","4.02","0.45","2.65","0.41","1400000US06037120300","Census Tract 1203, Los Angeles County, California"
"3.04","0.41","4.02","0.98","2.53","0.40","1400000US06037120400","Census Tract 1204, Los Angeles County, California"
"3.76","0.38","4.08","0.60","3.16","0.64","1400000US06037121010","Census Tract 1210.10, Los Angeles County, California"
"3.38","0.35","3.50","0.47","3.23","0.53","1400000US06037121020","Census Tract 1210.20, Los Angeles County, California"
"3.35","0.37","4.44","0.56","2.64","0.35","1400000US06037121101","Census Tract 1211.01, Los Angeles County, California"
"2.83","0.33","3.00","0.45","2.59","0.49","1400000US06037121102","Census Tract 1211.02, Los Angeles County, California"
"3.60","0.51","3.59","0.57","3.62","1.32","1400000US06037121210","Census Tract 1212.10, Los Angeles County, California"
"4.78","0.61","5.40","0.86","3.46","1.28","1400000US06037121221","Census Tract 1212.21, Los Angeles County, California"
"3.93","0.47","4.20","0.55","3.77","0.67","1400000US06037121222","Census Tract 1212.22, Los Angeles County, California"
"3.29","0.36","3.28","0.38","3.33","0.84","1400000US06037121600","Census Tract 1216, Los Angeles County, California"
"2.91","0.37","3.80","0.54","2.50","0.54","1400000US06037121801","Census Tract 1218.01, Los Angeles County, California"
"3.66","0.42","3.88","0.44","3.21","0.86","1400000US06037121802","Census Tract 1218.02, Los Angeles County, California"
"3.69","0.51","3.63","0.69","3.75","0.75","1400000US06037121900","Census Tract 1219, Los Angeles County, California"
"3.34","0.32","3.29","0.40","3.45","0.59","1400000US06037122000","Census Tract 1220, Los Angeles County, California"
"4.18","0.52","4.36","0.72","3.96","0.71","1400000US06037122120","Census Tract 1221.20, Los Angeles County, California"
"3.83","0.46","4.53","0.54","3.33","0.60","1400000US06037122121","Census Tract 1221.21, Los Angeles County, California"
"4.10","0.57","4.71","0.92","3.92","0.68","1400000US06037122122","Census Tract 1221.22, Los Angeles County, California"
"4.00","0.38","4.07","0.54","3.93","0.54","1400000US06037122200","Census Tract 1222, Los Angeles County, California"
"2.94","0.37","3.63","1.71","2.79","0.26","1400000US06037122410","Census Tract 1224.10, Los Angeles County, California"
"3.65","0.36","3.89","0.63","3.53","0.44","1400000US06037122420","Census Tract 1224.20, Los Angeles County, California"
"3.82","0.36","4.33","0.80","3.54","0.41","1400000US06037123010","Census Tract 1230.10, Los Angeles County, California"
"3.99","0.40","4.35","0.53","3.36","0.58","1400000US06037123020","Census Tract 1230.20, Los Angeles County, California"
"2.39","0.20","2.64","0.52","2.26","0.24","1400000US06037123103","Census Tract 1231.03, Los Angeles County, California"
"2.91","0.24","3.58","0.55","2.56","0.31","1400000US06037123104","Census Tract 1231.04, Los Angeles County, California"
"3.41","0.34","3.76","0.63","3.34","0.38","1400000US06037123203","Census Tract 1232.03, Los Angeles County, California"
"3.38","0.38","3.51","0.66","3.35","0.42","1400000US06037123204","Census Tract 1232.04, Los Angeles County, California"
"3.60","0.52","3.85","0.73","3.52","0.63","1400000US06037123205","Census Tract 1232.05, Los Angeles County, California"
"2.83","0.27","3.49","0.59","2.64","0.29","1400000US06037123206","Census Tract 1232.06, Los Angeles County, California"
"2.73","0.26","3.13","0.48","2.48","0.34","1400000US06037123301","Census Tract 1233.01, Los Angeles County, California"
